RefId,IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
2356,1,12/29/2009,ADESA,2008,1,DODGE,CHARGER V6,Bas,4D SEDAN 2.7L,SILVER,AUTO,NULL,NULL,57592,AMERICAN,SPECIALTY,CHRYSLER,10290,11225,14189,15135,10290,11225,14189,15135,NULL,NULL,52117,45005,OH,9840,0,1086
2357,0,12/29/2009,ADESA,2007,2,CHRYSLER,SEBRING V6,Bas,4D SEDAN,BLACK,AUTO,2,Covers,89723,AMERICAN,MEDIUM,CHRYSLER,6536,7213,9851,10691,6657,7198,9813,10409,NULL,NULL,52117,45005,OH,7015,0,1373
2358,0,1/19/2010,ADESA,2007,3,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,GREY,AUTO,2,Covers,61657,AMERICAN,MEDIUM,CHRYSLER,6817,8049,10411,11652,8248,9655,11467,12811,NULL,NULL,52117,45005,OH,7185,0,1020
2359,0,1/19/2010,ADESA,2008,2,CHRYSLER,PACIFICA FWD,LX,4D SPORT,BLUE,AUTO,2,Covers,81752,AMERICAN,CROSSOVER,CHRYSLER,8695,10325,13293,14644,8786,10477,12637,14434,NULL,NULL,52117,45005,OH,8145,0,1503
2360,0,1/19/2010,ADESA,2004,6,CHEVROLET,MALIBU V6,LS,4D SEDAN LS,BLACK,AUTO,1,Alloy,75116,AMERICAN,MEDIUM,GM,4053,5134,7663,8786,4439,5605,7281,8552,NULL,NULL,52117,45005,OH,5775,0,1272
2361,0,1/19/2010,ADESA,2007,3,DODGE,CALIBER,SXT,4D WAGON SXT,BLUE,AUTO,2,Covers,84785,AMERICAN,MEDIUM,CHRYSLER,7075,8573,10387,11605,7734,9081,11713,12987,NULL,NULL,52117,45005,OH,6405,0,983
2362,0,1/19/2010,ADESA,2007,3,PONTIAC,GRAND PRIX,Bas,4D SEDAN,BLUE,AUTO,1,Alloy,61847,AMERICAN,LARGE,GM,7120,8315,11029,13198,8313,10037,11601,13940,NULL,NULL,52117,45005,OH,7385,0,1703
2363,0,1/19/2010,ADESA,2006,4,CHRYSLER,PACIFICA FWD,Tou,4D SPORT TOURING,SILVER,AUTO,1,Alloy,70422,AMERICAN,CROSSOVER,CHRYSLER,9891,12060,13682,15236,11256,13339,14048,15596,NULL,NULL,52117,45005,OH,9000,0,1389
2364,0,1/19/2010,ADESA,2006,4,KIA,SORENTO 2WD,EX,4D SPORT UTILITY EX,GREY,AUTO,1,Alloy,57163,OTHER ASIAN,MEDIUM SUV,OTHER,7412,9379,11500,13380,8671,10203,13075,15009,NULL,NULL,52117,45005,OH,7585,0,1334
2365,0,1/19/2010,ADESA,2005,5,CHRYSLER,PACIFICA AWD,Tou,4D SPORT TOURING,BLUE,AUTO,1,Alloy,77760,AMERICAN,CROSSOVER,CHRYSLER,7994,9737,11405,13298,8760,10200,12034,13653,NULL,NULL,52117,45005,OH,9300,0,1857
2366,0,2/2/2010,ADESA,2007,3,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,BLUE,AUTO,2,Covers,75896,AMERICAN,MEDIUM,CHRYSLER,7239,8559,11094,12416,8553,9852,11649,13024,NULL,NULL,52117,45005,OH,6605,0,1155
2367,0,2/2/2010,ADESA,2006,4,CHEVROLET,HHR,LT,4D SUV 2.2L LS,GREY,AUTO,1,Alloy,83750,AMERICAN,MEDIUM,GM,5175,6413,9380,10752,6186,7326,9968,11871,NULL,NULL,52117,45005,OH,7245,0,853
2368,0,2/2/2010,ADESA,2008,2,DODGE,AVENGER 4C,SE,4D SEDAN,BLACK,AUTO,2,Covers,84416,AMERICAN,MEDIUM,CHRYSLER,7971,8899,11875,12565,8419,9318,12029,12635,NULL,NULL,52117,45005,OH,7215,0,1243
2369,0,2/2/2010,ADESA,2005,5,HONDA,ACCORD 4C,LX,4D SEDAN LX 5SP,SILVER,MANUAL,2,Covers,56520,TOP LINE ASIAN,MEDIUM,OTHER,7448,8747,11225,13045,7310,8307,11035,11843,NULL,NULL,52117,45005,OH,9100,0,505
2370,0,2/2/2010,ADESA,2008,2,DODGE,AVENGER 4C,SE,4D SEDAN,WHITE,AUTO,2,Covers,69379,AMERICAN,MEDIUM,CHRYSLER,7971,8899,11875,12565,8814,9655,12322,13155,NULL,NULL,52117,45005,OH,7795,0,1020
2371,0,2/2/2010,ADESA,2006,4,DODGE,CHARGER,Bas,4D SEDAN,BLUE,AUTO,2,Covers,75413,AMERICAN,SPECIALTY,CHRYSLER,8413,9646,12070,13548,9194,10510,13726,14902,NULL,NULL,52117,45005,OH,8725,0,1389
2372,0,2/2/2010,ADESA,2008,2,CHEVROLET,MALIBU V6,LS,4D SEDAN LS,SILVER,AUTO,2,Covers,65346,AMERICAN,MEDIUM,GM,9305,10484,13303,14622,9019,10429,12692,14311,NULL,NULL,52117,45005,OH,9430,0,1118
2373,0,2/2/2010,ADESA,2007,3,CHEVROLET,IMPALA V6,LT,4D SEDAN LT 3.5L,BLUE,AUTO,1,Alloy,86097,AMERICAN,LARGE,GM,7903,9274,11899,13455,8804,10114,12293,14157,NULL,NULL,52117,45005,OH,7115,0,2152
2374,0,2/2/2010,ADESA,2006,4,PONTIAC,G6 V6,Bas,4D SEDAN,SILVER,AUTO,1,Alloy,65788,AMERICAN,MEDIUM,GM,6386,7534,10590,12494,7028,8238,10444,11596,NULL,NULL,52117,45005,OH,7950,0,1118
2375,0,2/2/2010,ADESA,2006,4,FORD,FREESTAR FWD V6,SE,PASSENGER 3.9L LX,GREY,AUTO,2,Covers,74909,AMERICAN,VAN,FORD,5021,6544,8844,10718,6087,7584,9359,11289,NULL,NULL,52117,45005,OH,6075,0,1506
2376,0,2/2/2010,ADESA,2006,4,FORD,FIVE HUNDRED,SE,4D SEDAN SE AWD,BLACK,AUTO,1,Alloy,70178,AMERICAN,LARGE,FORD,6764,8351,10777,12431,6408,8194,9944,11934,NULL,NULL,52117,45005,OH,6605,0,1623
2377,1,2/2/2010,ADESA,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,MAROON,AUTO,NULL,NULL,80031,AMERICAN,LARGE,GM,7115,8239,10427,11997,7115,8239,10427,11997,NULL,NULL,52117,45005,OH,6985,0,2152
2378,0,2/2/2010,ADESA,2007,3,CHRYSLER,SEBRING V6,Bas,4D SEDAN,BLACK,AUTO,2,Covers,81180,AMERICAN,MEDIUM,CHRYSLER,6560,7332,9421,10372,7903,8742,11168,11954,NULL,NULL,52117,45005,OH,6105,0,1373
2379,1,2/2/2010,ADESA,2004,6,CHEVROLET,CAVALIER 4C,Bas,4D SEDAN,BEIGE,AUTO,2,Covers,74458,AMERICAN,COMPACT,GM,2592,3459,5929,7912,2909,3822,5431,6653,NULL,NULL,52117,45005,OH,3965,0,1155
2380,0,2/2/2010,ADESA,2007,3,FORD,FIVE HUNDRED,SEL,4D SEDAN SEL,BLUE,AUTO,1,Alloy,79733,AMERICAN,LARGE,FORD,8812,11031,12774,15174,9045,11116,12957,14895,NULL,NULL,52117,45005,OH,6675,0,1506
2381,1,2/2/2010,ADESA,2006,4,PONTIAC,GRAND PRIX,Bas,4D SEDAN,BLUE,AUTO,NULL,NULL,87580,AMERICAN,LARGE,GM,6336,7711,10011,11677,6336,7711,10011,11677,NULL,NULL,52117,45005,OH,6815,0,2152
2382,0,2/2/2010,ADESA,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,MAROON,AUTO,2,Covers,74312,AMERICAN,LARGE,GM,7115,8239,10427,11997,7115,8239,10427,11997,NULL,NULL,52117,45005,OH,7415,0,1974
2383,0,2/2/2010,ADESA,2005,5,FORD,FREESTYLE FWD V6,SE,4D CUV 3.0L SE,BLUE,AUTO,1,Alloy,79350,AMERICAN,CROSSOVER,FORD,6316,7684,10071,11408,6265,7963,9679,11315,NULL,NULL,52117,45005,OH,7685,0,1506
2384,0,2/9/2010,ADESA,2006,4,KIA,SPECTRA,EX,4D SEDAN,SILVER,AUTO,2,Covers,59930,OTHER ASIAN,MEDIUM,OTHER,5265,6154,8437,9186,5387,6429,8749,9687,NULL,NULL,52117,45005,OH,6075,0,505
2385,0,2/9/2010,ADESA,2008,2,CHEVROLET,IMPALA V6,LS,4D SEDAN LS 3.5L FFV,BROWN,AUTO,2,Covers,68081,AMERICAN,LARGE,GM,8127,9286,12459,13815,8648,9736,12037,13499,NULL,NULL,52117,45005,OH,8025,0,1703
2386,0,2/9/2010,ADESA,2005,5,JEEP,LIBERTY 4WD V6,Spo,4D SUV,BLACK,AUTO,1,Alloy,70501,AMERICAN,SMALL SUV,CHRYSLER,7390,9080,10924,13423,7834,9468,11349,12834,NULL,NULL,52117,45005,OH,7485,0,920
2387,0,2/9/2010,ADESA,2008,2,DODGE,CHARGER V6,Bas,4D SEDAN 3.5L SE,SILVER,AUTO,1,Alloy,84940,AMERICAN,SPECIALTY,CHRYSLER,11852,13836,15679,17819,13110,14593,16170,17781,NULL,NULL,52117,45005,OH,10010,0,1503
2388,0,2/9/2010,ADESA,2004,6,CHEVROLET,IMPALA,Bas,4D SEDAN,RED,AUTO,2,Covers,55947,AMERICAN,LARGE,GM,3612,4733,6657,8049,3664,4812,6686,8042,NULL,NULL,52117,45005,OH,5700,0,1500
2389,0,2/9/2010,ADESA,2007,3,DODGE,CALIBER,Bas,4D WAGON,BLACK,AUTO,2,Covers,55323,AMERICAN,MEDIUM,CHRYSLER,6947,8145,10467,11576,7545,8869,10614,12056,NULL,NULL,52117,45005,OH,6985,0,754
2390,0,2/16/2010,ADESA,2006,4,JEEP,LIBERTY 4WD V6,Spo,4D SUV,BROWN,AUTO,1,Alloy,76052,AMERICAN,SMALL SUV,CHRYSLER,10123,11899,13778,16195,11136,12680,14638,15795,NULL,NULL,52117,45005,OH,8010,0,920
2391,0,2/16/2010,ADESA,2005,5,CHRYSLER,PT CRUISER,Lim,4D SEDAN LIMITED,RED,AUTO,1,Alloy,82233,AMERICAN,MEDIUM,CHRYSLER,4742,5815,8416,9879,4345,4865,8014,8497,NULL,NULL,52117,45005,OH,5470,0,1503
2392,0,2/16/2010,ADESA,2005,5,CHEVROLET,MALIBU V6,Bas,4D SEDAN,BLUE,AUTO,2,Covers,80713,AMERICAN,MEDIUM,GM,4647,5563,8109,8878,5395,6629,8354,9853,NULL,NULL,52117,45005,OH,6575,0,1373
2393,0,2/16/2010,ADESA,2008,2,DODGE,CHARGER V6,Bas,4D SEDAN 2.7L,SILVER,AUTO,2,Covers,67810,AMERICAN,SPECIALTY,CHRYSLER,10599,11715,14322,15553,12237,13350,15422,16374,NULL,NULL,52117,45005,OH,10040,0,1215
2394,0,2/16/2010,ADESA,2008,2,CHEVROLET,IMPALA V6,LS,4D SEDAN LS 3.5L FFV,SILVER,AUTO,2,Covers,81803,AMERICAN,LARGE,GM,8339,9512,12155,13657,8456,9514,12653,13544,NULL,NULL,52117,45005,OH,7515,0,2152
2395,1,2/16/2010,ADESA,2007,3,FORD,ESCAPE 4WD V6,XLT,4D CUV 3.0L XLT,GREY,AUTO,NULL,NULL,88590,AMERICAN,SMALL SUV,FORD,13144,15269,16793,18766,13144,15269,16793,18766,NULL,NULL,52117,45005,OH,7945,0,1503
2396,0,2/16/2010,ADESA,2006,4,FORD,FUSION 4C,SE,4D SEDAN SE,GREY,AUTO,1,Alloy,85678,AMERICAN,MEDIUM,FORD,7806,9521,11302,12676,8257,9560,11524,12809,NULL,NULL,52117,45005,OH,7585,0,853
2397,0,2/16/2010,ADESA,2006,4,CHRYSLER,PACIFICA FWD,Bas,4D SPORT,BLUE,AUTO,2,Covers,88343,AMERICAN,CROSSOVER,CHRYSLER,8283,9550,11910,13012,8759,9999,12192,13114,NULL,NULL,52117,45005,OH,6835,0,1503
2398,0,2/16/2010,ADESA,2007,3,CHEVROLET,IMPALA V6,LT,4D SEDAN LT 3.5L,GREY,AUTO,1,Alloy,88153,AMERICAN,LARGE,GM,8430,9806,12253,13902,8529,10063,12234,14261,NULL,NULL,52117,45005,OH,7415,0,2152
2399,0,2/16/2010,ADESA,2006,4,PONTIAC,GRAND PRIX,Bas,4D SEDAN,SILVER,AUTO,1,Alloy,83990,AMERICAN,LARGE,GM,6544,7953,9902,11564,6427,8020,9884,11476,NULL,NULL,52117,45005,OH,7465,0,2152
2400,0,2/16/2010,ADESA,2003,7,CHEVROLET,TRAILBLAZER EXT 2WD,LS,4D SUV 4.2L LS,SILVER,AUTO,1,Alloy,79629,AMERICAN,MEDIUM SUV,GM,6932,8240,10284,11432,5626,6266,9139,9582,NULL,NULL,52117,45005,OH,8695,0,1455
2401,0,2/16/2010,ADESA,2007,3,DODGE,CALIBER,Bas,4D WAGON,RED,AUTO,2,Covers,78354,AMERICAN,MEDIUM,CHRYSLER,7124,8241,10989,12108,6356,7541,10312,11419,NULL,NULL,52117,45005,OH,6885,0,920
2402,0,2/23/2010,ADESA,2005,5,FORD,FREESTAR FWD V6,SE,PASSENGER 3.9L LX,GOLD,AUTO,1,Alloy,61728,AMERICAN,VAN,FORD,4700,5464,8260,9061,5117,6366,8577,9790,NULL,NULL,52117,45005,OH,6075,0,1313
2403,0,2/23/2010,ADESA,2005,5,CHEVROLET,MALIBU V6,LS,4D SEDAN LS,GOLD,AUTO,1,Alloy,88193,AMERICAN,MEDIUM,GM,5073,6160,8379,9510,5072,6265,8434,9952,NULL,NULL,52117,45005,OH,6885,0,1373
2404,1,2/23/2010,ADESA,2005,5,PONTIAC,MONTANA FWD,Bas,4D MINIVAN EXT 3.4L,BLUE,AUTO,1,Alloy,85697,AMERICAN,VAN,GM,4761,6253,8650,10308,5427,6892,9286,10635,NULL,NULL,52117,45005,OH,6135,0,5092
2405,0,2/23/2010,ADESA,2006,4,CHEVROLET,1500 SILVERADO PICKU,LS,EXT CAB 4.8L,WHITE,AUTO,1,Alloy,84163,AMERICAN,LARGE TRUCK,GM,9081,11404,13459,16778,9081,11082,13639,15385,NULL,NULL,52117,45005,OH,8045,0,1243
2406,1,2/23/2010,ADESA,2006,4,PONTIAC,G6 4C,Bas,4D SEDAN SE,GREY,AUTO,NULL,NULL,63420,AMERICAN,MEDIUM,GM,6434,7634,9939,11248,6543,7689,9801,11044,NULL,NULL,52117,45005,OH,7345,0,923
2407,0,2/23/2010,ADESA,2007,3,CHEVROLET,HHR,LS,4D SUV 2.2L LS,GREY,AUTO,2,Covers,72186,AMERICAN,MEDIUM,GM,6691,7676,10785,12006,6769,8034,10677,11772,NULL,NULL,52117,45005,OH,7645,0,803
2408,0,2/23/2010,ADESA,2006,4,DODGE,DURANGO 4WD V8,Adv,4D SUV 4.7L,GREY,AUTO,1,Alloy,79895,AMERICAN,MEDIUM SUV,CHRYSLER,11292,13431,15541,17016,11557,13742,15504,17292,NULL,NULL,52117,45005,OH,10915,0,1623
2409,0,2/23/2010,ADESA,2007,3,CHEVROLET,MALIBU 4C,LS,4D SEDAN LS,SILVER,AUTO,2,Covers,78493,AMERICAN,MEDIUM,GM,7167,8303,10810,11998,7122,8334,10931,11944,NULL,NULL,52117,45005,OH,7445,0,1038
2410,0,2/23/2010,ADESA,2003,7,GMC,ENVOY 2WD 6C,SLE,4D UTILITY 4.2L SLE,GREY,AUTO,1,Alloy,81325,AMERICAN,MEDIUM SUV,GM,5450,6924,9445,11453,5770,6795,9406,10590,NULL,NULL,52117,45005,OH,7950,0,1543
2411,0,2/23/2010,ADESA,2005,5,CHEVROLET,IMPALA,Bas,4D SEDAN,GOLD,AUTO,2,Covers,82944,AMERICAN,LARGE,GM,4565,5678,7823,8984,4333,5595,7360,9080,NULL,NULL,52117,45005,OH,6135,0,2152
2412,0,2/26/2010,ADESA,2004,6,CHRYSLER,PACIFICA FWD,,4D SPORT TOURER,WHITE,AUTO,1,Alloy,86000,AMERICAN,CROSSOVER,CHRYSLER,6680,8195,9501,11295,6088,7513,9308,10728,NULL,NULL,18880,45005,OH,7125,0,1503
2413,0,2/26/2010,ADESA,2006,4,PONTIAC,G6 V6,Bas,4D SEDAN,SILVER,AUTO,2,Covers,86420,AMERICAN,MEDIUM,GM,7014,8282,10792,12354,6438,7791,10605,11874,NULL,NULL,18880,45005,OH,6425,0,1373
2414,0,3/2/2010,ADESA,2006,4,PONTIAC,G6 V6,Bas,4D SEDAN,BLACK,AUTO,1,Alloy,63906,AMERICAN,MEDIUM,GM,7194,8375,10462,12039,7028,8238,10444,11596,NULL,NULL,52117,45005,OH,8095,0,1118
2415,1,3/2/2010,ADESA,2005,5,KIA,OPTIMA V6,EX,4D SEDAN EX,SILVER,AUTO,1,Alloy,79978,OTHER ASIAN,MEDIUM,OTHER,4244,5435,7471,8928,2448,2903,5615,6183,NULL,NULL,52117,45005,OH,6225,0,803
2416,0,3/2/2010,ADESA,2004,6,DODGE,DURANGO 4WD V8,ST,4D SUV 4.7L SLT,BLUE,AUTO,2,Covers,60705,AMERICAN,MEDIUM SUV,CHRYSLER,7320,9118,10919,12927,7727,9508,11537,13110,NULL,NULL,52117,45005,OH,8345,0,1411
2417,0,3/2/2010,ADESA,2007,3,PONTIAC,GRAND PRIX,Bas,4D SEDAN,GOLD,AUTO,1,Alloy,75378,AMERICAN,LARGE,GM,8010,9480,11536,13339,8617,10335,12234,13860,NULL,NULL,52117,45005,OH,7825,0,1974
2418,0,3/2/2010,ADESA,2006,4,PONTIAC,G6 V6,GTP,4D SEDAN GTP,GREY,AUTO,1,Alloy,67802,AMERICAN,MEDIUM,GM,8561,10223,12287,14505,7941,9550,11718,13237,NULL,NULL,52117,45005,OH,8445,0,1118
2419,0,3/2/2010,ADESA,2006,4,PONTIAC,GRAND PRIX,Bas,4D SEDAN,BLUE,AUTO,1,Alloy,87820,AMERICAN,LARGE,GM,6877,8225,10102,11539,6751,8167,9824,11607,NULL,NULL,52117,45005,OH,7385,0,2152
2420,0,3/2/2010,ADESA,2006,4,DODGE,DURANGO 4WD V8,Adv,4D SUV 4.7L,BLUE,AUTO,1,Alloy,73452,AMERICAN,MEDIUM SUV,CHRYSLER,11537,13261,15349,16969,10819,13223,14464,16706,NULL,NULL,52117,45005,OH,10765,0,1623
2421,0,5/25/2010,ADESA,2007,3,TOYOTA,CAMRY 4C,LE,4D SEDAN CE,GREY,AUTO,2,Covers,82760,TOP LINE ASIAN,MEDIUM,OTHER,10039,11037,14160,15567,10126,11357,13397,15158,NULL,NULL,52117,45005,OH,10475,0,594
2422,1,5/25/2010,ADESA,2005,5,PONTIAC,G6 V6,Bas,4D SEDAN,BLACK,AUTO,NULL,NULL,54938,AMERICAN,MEDIUM,GM,5819,7146,9305,10678,5819,7146,9305,10678,NULL,NULL,52117,45005,OH,8005,0,1003
2423,0,5/25/2010,ADESA,2008,2,CHEVROLET,IMPALA V6,LT,4D SEDAN LT 3.5L FFV,WHITE,AUTO,1,Alloy,73011,AMERICAN,LARGE,GM,8932,10302,13112,15123,8882,9987,12688,14109,NULL,NULL,52117,45005,OH,8425,0,1974
2424,0,5/25/2010,ADESA,2006,4,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L,BLUE,AUTO,1,Alloy,99126,AMERICAN,MEDIUM SUV,GM,10536,12490,14401,16050,9242,11479,13549,15637,NULL,NULL,52117,45005,OH,9310,0,2351
2425,0,5/25/2010,ADESA,2003,7,CHEVROLET,1500 SILVERADO PICKU,W/T,EXT CAB 5.3L,SILVER,AUTO,1,Alloy,98913,AMERICAN,LARGE TRUCK,GM,7101,8462,10877,12961,6919,8357,10630,12264,NULL,NULL,52117,45005,OH,8505,0,1641
2426,0,5/25/2010,ADESA,2006,4,CHEVROLET,HHR,LS,4D SUV 2.2L LS,SILVER,AUTO,2,Covers,89168,AMERICAN,MEDIUM,GM,5899,7297,9551,11113,5842,7127,10036,11428,NULL,NULL,52117,45005,OH,6685,0,853
2427,0,6/1/2010,ADESA,2004,6,CHRYSLER,SEBRING 4C,LX,4D SEDAN,BLACK,AUTO,1,Alloy,70926,AMERICAN,MEDIUM,CHRYSLER,3147,4286,6351,7581,2551,3678,5813,6797,NULL,NULL,52117,45005,OH,5580,0,1155
2428,0,6/1/2010,ADESA,2007,3,PONTIAC,G6 4C,Bas,4D SEDAN SE1,RED,AUTO,2,Covers,61616,AMERICAN,MEDIUM,GM,7813,9136,11737,13683,8531,9981,11650,12457,NULL,NULL,52117,45005,OH,8360,0,923
2429,0,6/1/2010,ADESA,2007,3,PONTIAC,G6 V6,Bas,4D SEDAN SE1,SILVER,AUTO,1,Alloy,41589,AMERICAN,MEDIUM,GM,8270,9587,12252,14203,8472,10334,12163,13975,NULL,NULL,52117,45005,OH,8965,0,905
2430,0,6/1/2010,ADESA,2002,8,FORD,ESCAPE 4WD V6,XLT,4D CUV 3.0L XLT,BLACK,AUTO,1,Alloy,64219,AMERICAN,SMALL SUV,FORD,4292,5563,7403,8447,4411,5834,7179,8747,NULL,NULL,52117,45005,OH,7595,0,1515
2431,0,6/1/2010,ADESA,2004,6,CHEVROLET,1500 SILVERADO PICKU,LS,EXT CAB 4.3L,GREEN,AUTO,1,Alloy,61166,AMERICAN,LARGE TRUCK,GM,6002,7550,9701,11400,6746,8261,10440,11819,NULL,NULL,52117,45005,OH,9310,0,1118
2432,1,6/1/2010,ADESA,2003,7,DODGE,STRATUS 4C,SE,4D SEDAN SE,BLUE,AUTO,NULL,NULL,95807,AMERICAN,MEDIUM,CHRYSLER,2166,2979,5247,5746,2166,2979,5247,5746,NULL,NULL,52117,45005,OH,3975,0,1641
2433,0,6/1/2010,ADESA,2001,9,DODGE,DURANGO 4WD V8,SLT,4D SUV 4.7L,WHITE,AUTO,1,Alloy,92644,AMERICAN,MEDIUM SUV,CHRYSLER,3261,4575,6368,7833,3074,4584,5943,8863,NULL,NULL,52117,45005,OH,5480,0,2218
2434,0,6/1/2010,ADESA,2007,3,PONTIAC,G6 V6,Bas,4D SEDAN SE1,RED,AUTO,1,Alloy,86694,AMERICAN,MEDIUM,GM,8270,9587,12252,14203,8472,10334,12163,13975,NULL,NULL,52117,45005,OH,7805,0,1373
2435,0,6/1/2010,ADESA,2008,2,CHEVROLET,IMPALA V6,LT,4D SEDAN LT 3.5L FFV,BLACK,AUTO,1,Alloy,81170,AMERICAN,LARGE,GM,8769,10031,12448,14034,8961,10499,12923,14789,NULL,NULL,52117,45005,OH,8105,0,2152
2436,0,6/8/2010,ADESA,2004,6,JEEP,LIBERTY 2WD V6,Spo,4D SUV,SILVER,AUTO,1,Alloy,77183,AMERICAN,SMALL SUV,CHRYSLER,5620,6745,9755,10506,4887,5857,9188,9982,NULL,NULL,52117,45005,OH,7095,0,686
2437,0,6/8/2010,ADESA,2005,5,PONTIAC,VIBE,Bas,4D WAGON,BLUE,AUTO,2,Covers,83803,AMERICAN,MEDIUM,GM,5735,7003,8751,10389,5086,6460,8302,9835,NULL,NULL,52117,45005,OH,6795,0,594
2438,0,6/8/2010,ADESA,2004,6,KIA,RIO,Cin,4D WAGON CINCO,BLUE,AUTO,1,Alloy,42303,OTHER ASIAN,COMPACT,OTHER,2482,3258,5270,6918,2884,3489,7139,8636,NULL,NULL,52117,45005,OH,5280,0,482
2439,0,6/8/2010,ADESA,2007,3,HYUNDAI,SONATA V6,Lim,4D SEDAN,SILVER,AUTO,1,Alloy,84049,OTHER ASIAN,MEDIUM,OTHER,8237,9770,11908,13062,7322,8967,11191,12632,NULL,NULL,52117,45005,OH,7805,0,853
2440,0,6/8/2010,ADESA,2006,4,FORD,TAURUS,SE,4D SEDAN SE,SILVER,AUTO,1,Alloy,71836,AMERICAN,MEDIUM,FORD,4488,5711,7842,9225,3928,5206,7514,8464,NULL,NULL,52117,45005,OH,5680,0,920
2441,0,6/8/2010,ADESA,2007,3,CHEVROLET,IMPALA V6,LT,4D SEDAN LT 3.5L,BLUE,AUTO,1,Alloy,68943,AMERICAN,LARGE,GM,8091,9460,11741,13147,8478,10056,11728,13803,NULL,NULL,52117,45005,OH,8305,0,1703
2442,0,6/8/2010,ADESA,2006,4,CHEVROLET,MALIBU MAXX V6,LT,4D SEDAN LT,GREY,AUTO,2,Covers,75388,AMERICAN,MEDIUM,GM,6299,7939,10004,11573,5776,7299,9625,11153,NULL,NULL,52117,45005,OH,6895,0,1272
2443,0,6/8/2010,ADESA,2004,6,CHEVROLET,IMPALA,Bas,4D SEDAN,GREY,AUTO,2,Covers,79998,AMERICAN,LARGE,GM,3242,4403,6671,7986,3646,4812,6775,8181,NULL,NULL,52117,45005,OH,5985,0,1974
2444,1,6/15/2010,ADESA,2005,5,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L LS,GOLD,AUTO,NULL,NULL,89975,AMERICAN,MEDIUM SUV,GM,7832,9615,12025,13973,7832,9615,12025,13973,NULL,NULL,19619,45005,OH,7495,0,2152
2445,1,6/15/2010,ADESA,2003,7,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L LS,RED,AUTO,NULL,NULL,81431,AMERICAN,MEDIUM SUV,GM,5378,6941,8643,10551,5378,6941,8643,10551,NULL,NULL,19619,45005,OH,7750,0,2452
2446,0,6/15/2010,ADESA,2003,7,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L LS,GREEN,AUTO,1,Alloy,59343,AMERICAN,MEDIUM SUV,GM,5183,6411,8101,9829,4832,6149,8873,10360,NULL,NULL,19619,45005,OH,7695,0,1220
2447,0,6/15/2010,ADESA,2008,2,CHEVROLET,HHR,LT,4D SUV 2.2L 1LT,SILVER,AUTO,2,Covers,64174,AMERICAN,MEDIUM,GM,8441,9770,12580,13840,9532,10935,13184,14428,NULL,NULL,19619,45005,OH,7805,0,728
2448,1,6/15/2010,ADESA,2005,5,MAZDA,MAZDA3,i,4D SEDAN I,GREY,AUTO,2,Covers,71743,OTHER ASIAN,MEDIUM,OTHER,6219,7672,9898,10804,6165,7796,9863,10860,NULL,NULL,19619,45005,OH,7710,0,1038
2449,0,6/15/2010,ADESA,2002,8,SATURN,S SERIES,SL1,4D SEDAN SL1,BLUE,AUTO,2,Covers,48870,AMERICAN,COMPACT,GM,1902,2754,4740,5842,1689,2342,4386,5384,NULL,NULL,19619,45005,OH,4150,0,1416
2450,0,6/15/2010,ADESA,2006,4,CHEVROLET,IMPALA,LT,4D SEDAN LT 3.9L,GOLD,AUTO,1,Alloy,67111,AMERICAN,LARGE,GM,6573,8027,9811,11533,6239,7648,9550,11193,NULL,NULL,19619,45005,OH,8910,0,1703
2451,0,6/15/2010,ADESA,2007,3,KIA,OPTIMA 4C,EX,4D SEDAN,SILVER,AUTO,2,Covers,66284,OTHER ASIAN,MEDIUM,OTHER,7143,7987,10620,11166,6606,7889,10191,11416,NULL,NULL,19619,45005,OH,6685,0,728
2452,0,6/15/2010,ADESA,2005,5,DODGE,DURANGO 4WD V8,SLT,4D SUV 4.7L,BLACK,AUTO,1,Alloy,71144,AMERICAN,MEDIUM SUV,CHRYSLER,8288,9731,12597,13689,7948,9645,12369,13677,NULL,NULL,19619,45005,OH,10020,0,1623
2453,0,6/15/2010,ADESA,2007,3,HYUNDAI,ACCENT,GS,2D COUPE GS,GREY,AUTO,2,Covers,64040,OTHER ASIAN,COMPACT,OTHER,4754,6095,8397,9155,4719,5691,7174,8652,NULL,NULL,19619,45005,OH,5280,0,825
